company,summary,title
PayPal,"Code high-volume and scalable software.,We’re looking for creative thinkers who also know how to create real-world products.",Software Engineer - University Graduate
Allstate,"Strong understanding of distributed systems, operating systems, networking, databases, security, and analytics.",Software Engineer
Universal Avionics Systems Corporation,"A , , is needed to help with analysis, design, development and modification of embedded , in aviation related products.",Software Engineer
TRAX Test Services,"Knowledge of government office procedures and prior work experience in government testing office environment.,Must have excellent oral and written communication…",Entry Level Test Engineer
PayPal,"Code high-volume and scalable software.,We have opportunities in a wide range of areas including development, design, search, platform, test, quality, big data,…",Software Engineer Intern
Deepgram,"At Deepgram, you will design products powered by the latest deep learning technologies; implementing secure, robust, and scalable customer-facing services; and…",Backend Software Engineer
"Insight Enterprises, Inc.","This position will be to oversee the reliability, availability, security and performance geared to evolve enterprise pipelines to be cloud-native.",Remote DevOps Engineer- 6+ month contract with possibility of extension or permanent hire
"Insight Enterprises, Inc.",Insight Enterprise is seeking a Remote Senior Python Developer to help assist our client’s team with building a new website.,Remote Python Developer
Cobham,"Designs and implements real-time embedded , for Cobham Avionics' products, including , defined radios, navigation & communication radios, airborne…",Software Engineer Entry Level
Shutterfly,"Hands-on development in Client-side technologies (JavaScript, TypeScript, Angular, HTML, CSS, Open Source Java, Spring Boot, MySQL) working in a test-driven…",Software Frontend Engineer (Java Script/Angular)
Choice Hotels,"Serve as the lead , for developing enterprise systems , component additions and modifications, and during the coding phase of the development…",Software Engineer III
"Amazon Dev Center U.S., Inc.","3+ years of experience with scalable, API based agent or service oriented , architecture.,You will collaborate with world-class researchers and security…",Software Development Engineer II - AWS
MUFG,"Archer GRC platform versions 5-6X.,The , , is dedicated to the Agile Archer GRC program and will provide technical design, development, test and…",Software Engineer
Shutterfly,"Ensure services are highly scalable to handle large traffic with very low latency.,Collaborate with product managers, ,, operations, and other members…",Web Engineer 2
Maricopa Community Colleges,"Two or more years of experience working with programming / coding / scripting in server-side languages or framework such as BASH, PowerShell, ColdFusion, or…",Software Developer (Web / SharePoint)
CVS Health,Will accept High School diploma and equivalent experience in lieu of degree (2 years of professional work experience for every year of college not completed).,"Java Software Engineer, Advisor"
Microchip Technology,"Must be detail oriented and be able to remained focused on such details on an continuing and long-term basis.,Must have experience architecting , that is…",Pr. Engineer-Software Development
USAA,"Mentor and coach junior engineers.,Six years of , development experience.,Follows written risk and compliance policies and procedures for business…",Software Engineer (SDET) – Senior Level
"Axosoft, LLC.","Understanding of Database Development: As a full-stack , ,, you might be expected to interface with a database system such as MongoDB or SQL…",Software Engineer
SEDONA PHOTONICS,"Experience: Minimum of 1 year of full-time , design experience.,Education: Bachelor's in Computer Science or other related field.",Software Engineer
PayPal,"Has understanding of Testing frameworks such as Jest or similar.,Own and expand a scalable platform to deliver various segmented Checkout experiences.",Web Applications Engineer
Arizona State University,"In collaboration with the project team, analyzes project specifications, creates project sub-tasks, estimates development effort and creates implementation…",Software Engineer Principal
Hawaiian Airlines,"Additionally, they may be required to supervise less experienced , engineers.,More senior , Developer , have acquired deep technical…","Associate Software Developer Engineer, IT - Customer Experience, Mobile"
SEDONA PHOTONICS,"Experience: Internship or , design experience is preferred but not required.,You will also be communicating your new ideas and suggestions with company…",Software Engineer Intern
Performance,"These positions can be full-time with great benefits or hourly with excellent hourly rates, and Medical/Dental/Vision benefits are available.",Software or Systems Engineers - Avionics
Friendly Consultants,"Develop automation scripts to validate “My Account” (Discount Tire user account creation) website’s attachments, Downloads, Media players and documents using…",Software Engineer
General Motors,"The Oracle Siebel Applications Developer is responsible for developing , applications using sound, repeatable, industry best practices and in accordance…",Siebel Software Development Engineer
Discount Tire Corporate Careers,"Review and revise technical designs to meet project requirements.,Identify opportunities to re-engineer/integrate existing processes.",Senior Software Engineer
Allstate,"Strong understanding of design patterns, data structures, data persistence, UI frameworks, , and object-oriented design principles.",Fullstack Software Engineer
Shamrock Foods,"Execute full life-cycle , development.,Software , II is responsible for the complete life cycle of a new or modified , product, from…",Software Engineer 2
"Crisis Response Network, Inc.","Gather, analyze, develop, design, code, test, implement and maintain intranet and internet web applications, , solutions, and web services/APIs.",Software Developer I
