company,experience,jobcount,joburl,salary,title
WEBI7 DIGITAL CONSULTANT LLP  ,2-4 Yrs,21,/job-listings-telecaller-collection-webi7-digital-consultant-llp-bengaluru-bangalore-2-to-4-years-030720000468,"1,00,000 - 2,00,000 PA.",Telecaller - Payment Collection
Lithium Technologies Inc.,3-6 Yrs,8,/job-listings-senior-technical-support-engineer-lithium-technologies-inc-bengaluru-bangalore-3-to-6-years-260320500179,Not disclosed,Senior Technical Support Engineer
CMS Computers Limited,2-4 Yrs,307,/job-listings-urgent-opening-for-ux-designer-in-mumbai-bangalore-cms-computers-limited-mumbai-bengaluru-bangalore-2-to-4-years-090620005952,"4,00,000 - 6,00,000 PA.",Urgent opening For UX Designer in Mumbai / Bangalore
Tech Mahindra Ltd.   ,8-13 Yrs,81,/job-listings-data-warehouse-modeller-tech-mahindra-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-8-to-13-years-100720001669,Not disclosed,Data Warehouse Modeller
Kaya Skin Clinic,3-5 Yrs,97,/job-listings-beauty-therapist-kaya-skin-clinic-chennai-pune-delhi-mumbai-bengaluru-bangalore-kolkata-3-to-5-years-220318500150,Not disclosed,Beauty Therapist
Tech Mahindra Ltd.   ,8-13 Yrs,168,/job-listings-technical-designer-developer-advance-analytics-tech-mahindra-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-8-to-13-years-100720001684,Not disclosed,Technical Designer/Developer Advance Analytics
Jaro Education,0-4 Yrs,1050,/job-listings-development-executive-jaro-education-chennai-pune-delhi-mumbai-bengaluru-bangalore-hyderabad-secunderabad-gurgaon-0-to-4-years-211019501361,Not disclosed,Development Executive
Alembic Pharmaceuticals Limited,0-0 Yrs,1314,/job-listings-career-opportunity-for-the-postion-of-medical-representative-alembic-pharmaceuticals-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-surat-hyderabad-secunderabad-kolkata-0-to-0-years-240620006050,"2,25,000 - 2,75,000 PA.",Career Opportunity For the Postion of Medical Representative
Teleperformance Global Services Pvt Ltd ,0-5 Yrs,1008,/job-listings-opening-for-customer-service-work-from-home-teleperformance-global-services-pvt-ltd-pune-delhi-mumbai-bengaluru-bangalore-0-to-5-years-100720003243,"1,50,000 - 1,75,000 PA.",Opening For Customer Service  (Work From Home)
Alembic Pharmaceuticals Limited,0-0 Yrs,757,/job-listings-career-opportunity-for-the-position-of-medical-representative-alembic-pharmaceuticals-limited-chennai-pune-delhi-mumbai-ahmedabad-bengaluru-bangalore-surat-hyderabad-secunderabad-kolkata-0-to-0-years-080720003221,"2,25,000 - 2,75,000 PA.",Career Opportunity For the Position of Medical Representative
Atos Syntel Private Limited  ,3-4 Yrs,55,/job-listings-urgently-hiring-webmethods-developers-atos-syntel-atos-syntel-private-limited-pune-mumbai-bengaluru-bangalore-3-to-4-years-080720000920,Not disclosed,Urgently hiring Webmethods Developers @ Atos Syntel
Atos Syntel Private Limited  ,8-13 Yrs,33,/job-listings-urgently-hiring-webmethods-tech-lead-atos-syntel-mumbai-pune-blore-atos-syntel-private-limited-pune-mumbai-bengaluru-bangalore-8-to-13-years-080720001144,"50,000 - 3,00,000 PA.","Urgently hiring Webmethods Tech Lead @ Atos Syntel : Mumbai,Pune,Blore"
Oracle India Pvt. Ltd. ,4-9 Yrs,656,/job-listings-senior-devops-engineer-oracle-india-pvt-ltd-pune-mumbai-bengaluru-bangalore-4-to-9-years-100720001661,Not disclosed,Senior Devops Engineer
ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,6-11 Yrs,670,/job-listings-opening-for-vmware-citrix-horizon-6-to-12-years-atos-global-it-solutions-and-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-6-to-11-years-300620001286,Not disclosed,Opening For Vmware Citrix Horizon 6 To 12 Years
ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,8-13 Yrs,669,/job-listings-ms-sqlbi-administrator-atos-global-it-solutions-and-services-pvt-ltd-chennai-pune-vadodara-baroda-mumbai-bengaluru-bangalore-8-to-13-years-300620003201,Not disclosed,MS SQLBI Administrator
ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,8-13 Yrs,2899,/job-listings-technical-project-manager-chennai-bangalore-pune-atos-global-it-solutions-and-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-8-to-13-years-300620004871,"7,00,000 - 17,00,000 PA.",Technical Project Manager - Chennai / Bangalore / Pune
Atos Syntel,6-10 Yrs,955,/job-listings-machine-learning-consultant-atos-syntel-pune-mumbai-bengaluru-bangalore-6-to-10-years-300620005449,Not disclosed,Machine Learning Consultant
Tech Mahindra Ltd.,6-11 Yrs,208,/job-listings-iam-developer-6-years-iam-exp-must-tech-mahindra-ltd-pune-bengaluru-bangalore-hyderabad-secunderabad-6-to-11-years-240620005813,"5,00,000 - 15,00,000 PA.",IAM Developer _6+ Years IAM exp MUST
PRA Health Sciences,8-12 Yrs,708,/job-listings-clinical-trial-manager-pra-health-sciences-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-8-to-12-years-190620003651,"15,00,000 - 20,00,000 PA.",Clinical Trial Manager
Persistent Systems Limited.,7-10 Yrs,1268,/job-listings-qa-engineer-test-automation-for-pune-hyderabad-bengaluru-persistent-systems-limited-pune-bengaluru-bangalore-hyderabad-secunderabad-7-to-10-years-230620002450,Not disclosed,"QA Engineer (test Automation) For Pune, Hyderabad & Bengaluru"
NIIT Technologies Ltd.,3-8 Yrs,85,/job-listings-appian-developers-niit-technologies-niit-technologies-ltd-pune-bengaluru-bangalore-hyderabad-secunderabad-3-to-8-years-230620002566,Not disclosed,Appian Developers || NIIT Technologies
Persistent Systems Limited.,7-12 Yrs,331,/job-listings-ui-developer-for-pune-hyderabad-bengaluru-persistent-systems-limited-pune-bengaluru-bangalore-hyderabad-secunderabad-7-to-12-years-230620002836,Not disclosed,"UI Developer For Pune, Hyderabad & Bengaluru"
Tech Mahindra Ltd.,10-20 Yrs,378,/job-listings-sap-solman-sap-basis-sap-security-control-sap-fi-r2r-tech-mahindra-ltd-chennai-pune-bengaluru-bangalore-hyderabad-secunderabad-10-to-20-years-230620004421,Not disclosed,"SAP Solman, SAP Basis, SAP Security & Control, SAP Fi-r2r"
Allegis Services India Pvt. Ltd. ,2-7 Yrs,122,/job-listings-senior-solution-test-design-analyst-allegis-services-india-pvt-ltd-chennai-pune-bengaluru-bangalore-hyderabad-secunderabad-2-to-7-years-100720002464,Not disclosed,Senior Solution & Test Design Analyst
Infogain India (P) Ltd.,12-16 Yrs,67,/job-listings-mobile-architect-xamarin-infogain-india-p-ltd-mumbai-bengaluru-bangalore-noida-12-to-16-years-110620005210,Not disclosed,Mobile Architect -xamarin
Zensar Technologies Limited,4-9 Yrs,434,/job-listings-zensar-hiring-guidewire-billing-center-configuration-professionals-zensar-technologies-limited-pune-bengaluru-bangalore-hyderabad-secunderabad-4-to-9-years-120620004960,Not disclosed,Zensar Hiring  - Guidewire Billing Center Configuration Professionals
Oracle India Pvt. Ltd.,5-10 Yrs,77,/job-listings-senior-java-full-stack-developers-java-j2ee-oracle-india-pvt-ltd-mumbai-bengaluru-bangalore-5-to-10-years-230620002650,"50,000 - 3,00,000 PA.",Senior Java Full Stack Developers (java/j2ee)
Oracle India Pvt. Ltd.,1-3 Yrs,2678,/job-listings-reconciliation-analyst-goregaon-east-oracle-india-pvt-ltd-mumbai-1-to-3-years-290520004315,Not disclosed,Reconciliation Analyst - Goregaon East
Atidan Technologies,10-15 Yrs,1417,/job-listings-global-hr-manager-head-atidan-technologies-mumbai-10-to-15-years-290620900368,Not disclosed,Global HR Manager/ Head
Atos Syntel Private Limited,3-8 Yrs,86,/job-listings-urgently-hiring-webmethods-developers-atos-syntel-mumbai-blore-atos-syntel-private-limited-mumbai-bengaluru-bangalore-3-to-8-years-090620005013,Not disclosed,Urgently Hiring Webmethods Developers @ Atos Syntel : Mumbai / Blore
Atos Syntel Private Limited,10-15 Yrs,56,/job-listings-urgently-hiring-webmethods-tech-lead-atos-syntel-mumbai-bangalore-atos-syntel-private-limited-mumbai-bengaluru-bangalore-10-to-15-years-090620005252,Not disclosed,Urgently Hiring Webmethods Tech Lead @ Atos Syntel :Mumbai / Bangalore
Haptik,4-8 Yrs,1237,/job-listings-devops-engineer-iii-cloud-infrastructure-haptik-mumbai-bengaluru-bangalore-4-to-8-years-100420903007,Not disclosed,Devops Engineer III - Cloud Infrastructure
Shapoorji Pallonji Real Estate,9-14 Yrs,3069,/job-listings-required-planning-manager-location-bangalore-and-mumbai-shapoorji-pallonji-real-estate-mumbai-bengaluru-bangalore-9-to-14-years-140520001392,"10,00,000 - 20,00,000 PA.","Required Planning Manager, Location: Bangalore and Mumbai"
Spectrum Callnet Pvt Ltd,3-8 Yrs,767,/job-listings-assistant-manager-sales-growth-it-hardware-product-spectrum-callnet-pvt-ltd-chennai-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-gujarat-3-to-8-years-260520904701,Not disclosed,Assistant Manager - Sales Growth - IT Hardware Product
HIVELOOP TECHNOLOGY PRIVATE LIMITED,6-11 Yrs,4135,/job-listings-udaan-hiring-for-performance-management-lead-role-hiveloop-technology-private-limited-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-6-to-11-years-220520002923,"14,00,000 - 24,00,000 PA.",Udaan | Hiring For Performance Management Lead role.
Amazon Development Centre (India) Pvt. Ltd.,0-4 Yrs,42097,/job-listings-amazon-seller-partner-support-work-from-home-bangalore-amazon-development-centre-india-pvt-ltd-bengaluru-bangalore-0-to-4-years-070520005081,"2,75,000 - 4,00,000 PA.",Amazon Seller Partner Support (work From Home) - Bangalore
Teleperformance Global Services Pvt Ltd ,0-2 Yrs,1534,/job-listings-hiring-for-french-executive-for-accounts-process-bangalore-teleperformance-global-services-pvt-ltd-bengaluru-bangalore-0-to-2-years-070720000680,"2,50,000 - 4,00,000 PA.",Hiring For French Executive For Accounts process- Bangalore
24/7 Customer Private Ltd,0-3 Yrs,1607,/job-listings-hiring-for-24-7-ai-meet-hr-manjula-non-voice-process-24-7-customer-private-ltd-bengaluru-bangalore-0-to-3-years-070720002882,"1,75,000 - 3,25,000 PA.",Hiring For [24]7.ai & Meet HR Manjula  ( Non Voice Process)
IBM India Pvt. Limited,0-2 Yrs,1590,/job-listings-technical-support-associate-ibm-india-pvt-limited-bengaluru-bangalore-0-to-2-years-070720901779,Not disclosed,Technical Support Associate
Max Life Insurance Company Limited ,0-5 Yrs,179,/job-listings-relationship-associate-max-life-insurance-company-limited-bengaluru-bangalore-0-to-5-years-080720001870,"1,75,000 - 2,75,000 PA.",Relationship Associate
Amazon Development Centre (India) Pvt. Ltd. ,0-2 Yrs,2680,/job-listings-cmt-catalog-mapping-team-bangalore-amazon-development-centre-india-pvt-ltd-bengaluru-bangalore-0-to-2-years-090720001627,"2,25,000 PA.",CMT (Catalog Mapping Team) Bangalore
Cinepolis India Private Limited,0-4 Yrs,99,/job-listings-assistant-manager-sales-guwahati-cinepolis-india-private-limited-guwahati-0-to-4-years-100320600241,"2,75,000 - 4,00,000 PA.",Assistant Manager Sales | Guwahati
Cinepolis India Private Limited,0-1 Yrs,26,/job-listings-operation-trainee-trainee-associate-cinepolis-india-private-limited-thane-0-to-1-years-130320600516,"2,00,000 - 2,25,000 PA.","Operation Trainee, Trainee, Associate"
Wells Fargo India Solutions Pvt. Ltd.,0-2 Yrs,395,/job-listings-systems-support-analyst-1-wells-fargo-india-solutions-pvt-ltd-bengaluru-bangalore-hyderabad-secunderabad-0-to-2-years-110520501809,Not disclosed,Systems Support Analyst 1
eClerx Services Ltd.   ,2-7 Yrs,459,/job-listings-hiring-for-server-it-operations-pune-chandigarh-eclerx-services-ltd-pune-mumbai-chandigarh-2-to-7-years-110720000425,"2,00,000 - 4,00,000 PA.",Hiring For Server/ IT Operations - Pune/Chandigarh
WELLS FARGO EGS (India) PRIVATE LIMITED,10-20 Yrs,1790,/job-listings-operational-risk-sr-officer-wells-fargo-egs-india-private-limited-bengaluru-bangalore-hyderabad-secunderabad-10-to-20-years-140620000961,"17,00,000 - 32,00,000 PA.",Operational Risk Sr Officer
