jobId,title,description,Job type,Posted
218098358,"EnableIT, Inc.","<span id='TrackingJobBody' name='TrackingJobBody'>Test, maintain, monitor, coordinate computer programs, coding &amp; systems. Expand &amp; modify system, implement model execution software using provided algorithms for risk assessment &amp; future prediction of financials. Analyze current design &amp; operational procedures, identify problems, &amp; learn specific input/output for new/modified business requirements. Develop, document &amp; revise system design procedures, test procedures, &amp; quality standards required for automating model projections used for Comprehensive Capital Analysis &amp; Review (CCAR). Analyze code malfunctions &amp; program problems, resolve bugs/defects. Software program knowledge in Java 8, Rx Java, React JS, Spring boot, Micro Services, iBatis, Data Analytics, Mongo DB, Fongo DB, Mule, Junit, Test NJ, Spring test, IntelliJ, JIRA, Splunk, Jenkins, Orchestrate, Confluence, GitLab, Git Bucket. Reqs: Bachelor&rsquo;s Degree in Computer Science/foreign equiv. + 24 mths exp in position/Associate Engineer. Mail CV to EnableIT, 25 W 36th Street, 11th Fl, New York, NY 10017, Attn: C. Sawh, HR Coordinator.</span>","Full Time, Employee",27 Days ago
218555250,CyberCoders,"<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1--><b>**Urgently Hiring!!** </b><br><br><br><b>Job Title: </b> Senior Software Engineer / Analyst <br><br><b>Salary: </b>$100k - $130k<br><br><b>Job Location: </b> Saint Louis, MO (Sunset Hills area)<br><br><b>Requirements: </b> 7+ years as a Software developer or systems analyst working with technologies such as Oracle DBMS, SQL, ASP.NET, etc.<br><br><br><br>We are an established and growing technology company that provides real-time chemical emergency management solutions. We help provide clairty and data to clients complex engineering challenges through fast and reliable engineering simulation. We are currently in a major growth phase and seeking an experienced system engineer/analyst.<!--END_SECTION_1--></div><h4 class=""section-title"">Top Reasons to Work with Us</h4><div class=""section-data section-data-title"" data-section=""2""><!--START_SECTION_2-->- Competitive salary ($100k - $130k)<br>- Great work life balance<br><br>- Stability <br><br>- Dynamic and exciting work environment<br><br>- Full Benefits (health, dental, vision, 401k, etc.)<br><br>- 401k Match<br><br>- Casual work environment<!--END_SECTION_2--></div><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->- Work with clients to gather software requirements and technical specifications <br>- Manage software applications and projects<br><br>- Software development, Structured analysis, data, modeling, etc.<br><br>- Monitor production applications, databases, processes, etc.<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->- 8+ years experience developing, implementing, or supporting business critical solutions<br>- Bachelors in IT, CS, or related<br><br>- Experience writing software requirement specifications and test specifications <br><br>- Experience managing and working on large scale projects as well as handling day-to-day operational requests from business partners <br><br>- Experience working in a manufacturing environment is a plus<br><br><br><br><b>Experience developing and supporting applications required: </b> <br><br>- Oracle DBMS, PL Sql, WebLogic/Developer Reports<br><br>- SQL Server DBMS, T-Sql, SSRS<br><br>- Developing Windows Forms and ASP.NET MVC using VB.NET in Visual Studio Professional<br><br><br><br><b>Experience in following development tools preferred but not required: </b> <br><br>- Power BI<br><br>- SharePoint<br><br>- Dynamics CRM<br><br>- Microsoft Access<br><br>- C#<!--END_SECTION_7--></div><!--START_SECTION_8--><!--END_SECTION_8--><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Senior Software Engineer/Analyst with experience, please apply today!<!--END_SECTION_9--></div></span>","Full Time, Employee",2 Days ago
218100520,BBVA,"<span id='TrackingJobBody' name='TrackingJobBody'>BBVA seeks Sr. Lead Programmer Analyst - UI to work in Farmers Branch, TX to develop, test and deploy high-quality, innovative and fully-performing software applications. Mail resume to: BBVA &ndash; HR Dept., Attn: TXHOHTERC -I.Ariza, 2200 Post Oak Blvd., Houston, TX 77056. Must put job code SLPAUI20 on resume.</span>","Full Time, Employee",27 Days ago
218201713,Braun Intertac,"<span id='TrackingJobBody' name='TrackingJobBody'>PROGRAMMER ANALYST Bloomington, MN  Braun Intertec Corp. seeks Programmer Analyst to develop application functionality and source code for existing platforms using Microsoft BI technology stack (SQL, Server, Integration Services, Analysis Services, MDX, DAX, Reporting Services and Power BI), including work across BI stack (ETL, data modeling, data warehousing and front-end visualization). Minimum MS in Computer Science, Software Engineering, or equivalent, 1 year of experience working with SSAS, DAX, SQL, SSRS, SSIS, and C# development, and 1 year experience with data warehousing technical components and their integration with experience using Star Schemas, Dimensional Models &  indexing strategies.  For more information and to apply go to open positions at  https:// braunintertec.com/ careers/ or email resume or questions to  PSchnathorst@ braunintertec.com.  EOE. No calls.  No agencies.    </span>","Full Time, Employee",22 Days ago
217684342,U.S. Army Ground Vehicle Systms Center (GVSC),"<span id='TrackingJobBody' name='TrackingJobBody'><p><strong>Software Acquisition Management Analyst</strong></p><p><strong>&nbsp;</strong></p><p><strong>Privacy Act Statement for Job Announcement </strong></p><p><em>The information requested is being collected to evaluate your qualifications and suitability for potential employment with the U.S. Army Ground Vehicles Systems Center (GVSC) pursuant to the hiring authorities specified in 5 U.S.C. 3301, 3304, 3320, 3361, 3393, 3394, and other associated statutes within Title 5, United States Code. </em></p><p><em>&nbsp;</em></p><p><em>The information you provide may be used and disclosed to third parties as generally allowed by the Privacy Act of 1974, 5 U.S.C. 552a, as necessary to obtain additional information related to your qualifications and suitability for potential employment. It may also be disclosed pursuant to any of the routine uses identified in the OPM/GOVT-5 System of Records Notice, ""Recruiting, Examining, and Placement Records."" </em></p><p><em>&nbsp;</em></p><p><em>Furnishing this information is voluntary; however, failure to provide the information requested may delay or prevent us from further considering you for potential employment with the U.S. Army Ground Vehicles Systems Center (GVSC).</em></p><p><strong>Job Title:</strong></p><p>Senior Software Engineer or Software Engineer III with GVSC&rsquo;s Software Engineering Center, Department of Army, Warren, MI.</p><p>&nbsp;</p><p><strong>About GVSC:</strong></p><p>The U.S. Army Ground Vehicles Systems Center (GVSC) is a major element of Combat Capabilities Development Command (CCDC) and partner in the Tank Automotive and Armaments Command (TACOM) Life Cycle Management Command (LCMC). As a full life-cycle engineering support provider-of-first-choice for all Department Of Defense (DoD) ground combat and tactical vehicles, weapons and support systems, GVSC develops and integrates the right technology solutions to improve Current Force effectiveness and provide superior capabilities for the Future Force.&nbsp; GVSC&rsquo;s Software Engineering Center (SEC) provides software engineering and software life cycle management services to ground systems acquisition and technology development programs. GVSC&rsquo;s Software Engineering Center is responsible for developing, acquiring, integrating, assessing, supporting and maintaining software products. For more information visit <a rel=""nofollow"" href=""http://www.army.mil/gvsc"" target=""_blank"">www.army.mil/gvsc</a>.</p><p>&nbsp;</p><p><strong>Job Overview (Summary):</strong></p><p>The Software Acquisition Management Analyst will have a hands-on role with the acquisition support of software for the Army&rsquo;s current and future ground combat and tactical vehicles, weapons and support systems; and will require involvement in all stages of the development cycle.</p><p><strong>Job Description:</strong></p><ul><li>Develop annual department budget plan utilizing data from the organization&rsquo;s project listing, outstanding Statements of Work (SOW), spend plans, and cost estimates.</li><li>Manage the execution of department budgets and project spend plans.</li><li>Assist engineers in the development of SOW&rsquo;s, work break down structures, resource loaded scheduling, and required contract mechanisms.</li><li>Utilize and maintain organizationally-developed specific reporting tools to provide and maintain project budgets.</li><li>Develop, review, evaluate and make recommendations concerning acquisition documents, priorities, schedules, cost estimates, budgets, milestones and other program matters bearing on project/program assignments.</li><li>Other duties as assigned.</li></ul><p>&nbsp;</p><p><strong>Qualification:</strong></p><ul><li>Must have at least a Bachelor&rsquo;s Degree in Business Administration, Finance, Computer Science, or Engineering.</li><li>Preferred Master of Business Administration (MBA) with course work related to managerial accounting and managerial finance.</li><li>Prior demonstrated experience developing annual budgets.</li><li>Prior demonstrated experience developing cost estimates at the component or system level.</li><li>Must have experience working in a cross-functional team including engineers.</li><li>Must be able to obtain and maintain a secret security clearance.</li><li>Must be a US Citizen.</li></ul><p>&nbsp;</p><p><strong>Desired Competencies:</strong></p><ul><li>Familiarity with cost estimating techniques for software development and sustainment.</li><li>Familiarity using Earned Value Management (EVM) or similar metrics for measuring project performance.</li><li>Familiarity with SQL database management.</li><li>Familiarity with GFEBS or SAP based enterprise resource planning system.</li><li>Prior demonstrated experience developing annual department or project budgets.</li><li>Familiarity with industry-standard process methodologies (e.g., Six Sigma, LEAN, CMMI, etc.)</li></ul><p><strong>&nbsp;</strong></p><p><strong>Applicants:</strong></p><p>Please email your resume to:&nbsp; <a rel=""nofollow""><span data-mux=""tooltip"" data-placement=""top"" title=""Apply to this job to send your resume to this employer"" class=""mux-tooltip"">usarmy.detroit.rdecom.mbx.tardec-resumes@mail.mil</span><a><span data-mux=""tooltip"" data-placement=""top"" title=""Apply to this job to send your resume to this employer"" class=""mux-tooltip"">usarmy.detroit.ccdc-gvsc.mbx.sec-sw-acquisition@mail.mil</span></a>  </p></span>","Full Time, Employee",12 Days ago
218455634,"Ed Tech Soft, Inc.","<span id='TrackingJobBody' name='TrackingJobBody'>Computer Professional for GA Based IT Firm<br>Sr. Programmer Analyst to plan, design, develop, customize, & coordinate activities to implement advanced software module components using ASP.NET, ADO.NET, Visual Basic .NET, C#, SQL 2012, COM, COM+, XML, JSON, JavaScript, JQuery, T-SQL, etc. Travel &/or relocation to various locations throughout US may be required. Apply with 2 copies of resume to HR, Ed Tech Soft, Inc. 3296 Summit Ridge Pkwy. Suite 230, Duluth GA 30096<br></span>","Full Time, Employee",8 Days ago
52514699-54d6-4207-b548-9551d7ce51c3,CVS Health,"<b>Job Description</b><br>In the Office of the CTO, we design world-class, innovative, integrated, scalable and balanced system solutions aligned with Business and IT strategies. With critical thinking, deep business knowledge, situational awareness and multi-disciplinary experience, we deliver the transformational insight, trusted advice and technical leadership needed to make optimal use of technology and information assets.<br><br>In accordance with Office of the CTO policies and processes, this person will help deliver architectural solutions. <br><br>In this role, you will partner with other architects to:<br>- record, document and maintain O-CTO documents and processes<br>- With guidance develop, specify and communicate Office of the CTO solution architectures, technology plans, products and services. <br>Position requires working knowledge of business processes, architecture design principles and practices.<br><br>RESPONSIBILITIES<br>- Studies &amp; documents/participates with senior architects in developing frameworks, standards and reference material for architecture and associated products. <br>- Contributes to the development and maintenance of common services, repositories, and utility components for the enterprise. <br>- Provides lab and vendor support.<br>- Performs related duties as assigned or requested with general supervision. <br>- Manages the architecture governance activities associated with ensuring solution compliance. <br>- Performs research and development activities for the Office of the CTO. <br>- With guidance creates work product deliverables in accordance with Office of the CTO products and services. <br>- With Guidance designs, supports and deploys mechanisms to enhance, refine, and deliver the architecture vision. <br><br><br><br>PROFESSIONAL SKILLS &amp; KNOWLEDGE<br>- Understands and uses documentation tools<br>- Contributes to and maintains a curated representation of CVS Health’s software architecture. <br>- Demonstrates basic knowledge and aptitude in both business &amp; technical discussions.<br>- Ability to multi-task and switch context between architecture initiatives. <br>- Effective interpersonal and communication skills, with ability to communicate and influence appropriately through written, verbal and visual presentations.<br>- Willing collaborator and consensus-builder, who can form outcome-based partnerships across teams and organizations. <br>- Demonstrated EQ, listening, fast learning, documentation and problem-solving skills a must. <br>- Demonstrates understanding of design or software engineering at the application level.<br>- Understands &amp; applies conceptual architecture vision and principles.<br>- Understands business language &amp; engages actively in technical discussions.<br>- Demonstrated understanding of industry and technology trends. <br>- When applicable - Anticipates and proactively responds to future customer, industry and information technology needs. <br>- Demonstrates basic knowledge and aptitude in both business &amp; technical discussions.<br>- Ability to multi-task and switch context between architecture initiatives. <br>- Effective interpersonal and communication skills, with ability to communicate and influence appropriately through written, verbal and visual presentations.<br>- Ability to think creatively and drive innovation.<br><br><b>Required Qualifications</b><br>3+ years experience working in a professional organization, including recent and related experience in information systems development or implementation<br><br><b>Preferred Qualifications</b><br>1+ years recent and related experience in information systems development or implementation.<br>- Experience with object-oriented modeling principles (inheritance, polymorphism) and methods (use cases, sequence diagrams, etc.) is a plus<br>- Experience with architectural abstractions and design patterns is a plus<br><br><b>Education</b><br>Bachelor’s degree in computer science or equivalent. <br> Will accept  verifiable HS Diploma / GED with one year of relevant work experience for every year of college not attained in addition to required years of experience.<br><br><b>Business Overview</b><br><b>It’s a new day in health care.</b><br><br> Combining CVS Health and Aetna was a transformative moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health. As a CVS Health colleague, you’ll be at the center of it all.<br><br>   At CVS Health, we work every day to help people on their path to better health. Never has it been more important for us to deliver on our purpose to our valued customers, patients, members, and employees. With a presence in communities across the country, CVS Health colleagues are and will continue to be a critical piece of the country’s health care solution. The health and safety of our employees, patients, customers, and members is our top priority as we face the impact of COVID-19 together. If you would like to learn about the actions we are taking as a company as we learn more about COVID-19 and its spread, we encourage you to visit our COVID-19 resource center at <a href=""https%3A%2F%2Fcvshealth.com%2Fcovid-19"" target=""_blank"">https://cvshealth.com/covid-19</a><br> We offer a diverse work experience that empowers colleagues for career success. In addition to skill and experience, we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration, innovation, caring, integrity and accountability.<br><br> CVS Health is an equal opportunity/affirmative action employer. Gender/Ethnicity/Disability/Protected Veteran – we highly value and are committed to all forms of diversity in the workplace. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities. We comply with the laws and regulations set forth in the following EEO is the Law Poster: <a href=""https%3A%2F%2Fwww.dol.gov%2Fofccp%2Fregs%2Fcompliance%2Fposters%2Fpdf%2Feeopost.pdf"" target=""_blank"">EEO IS THE LAW</a> and <a href=""https%3A%2F%2Fwww.dol.gov%2Fofccp%2Fregs%2Fcompliance%2Fposters%2Fofccpost.htm"" target=""_blank"">EEO IS THE LAW SUPPLEMENT</a>. Please note that we only accept applications for employment via this site.<br><br> We provide reasonable accommodations to qualified individuals with disabilities. If you need to request an accommodation, a qualified interpreter, written information in other formats, translation or other services, please contact our <b>Advice and Counsel Reasonable Accommodations team</b> by emailing <a href=""mailto%3AAdviceCounsel%40cvshealth.com"" target=""_blank"">Advice and Counsel Reasonable Accommodations team</a> or calling 877-805-9511.<br><br> If technical issues are preventing you from applying to a position, contact Kenexa Helpdesk at 1-855-338-5609 or <a href=""mailto%3Acvshealthsupport%40us.ibm.com"" target=""_blank"">cvshealthsupport@us.ibm.com</a>. For technical issues with the Virtual Job Tryout, contact the Modern Hire Help Desk at 1-877-451-1695 or <a href=""mailto%3Acvs_support%40modernhire.com"" target=""_blank"">cvs_support@modernhire.com</a>.",,11 Days ago
218491318,Vaikun Corporation,"<span id='TrackingJobBody' name='TrackingJobBody'><p>Programmer Analyst (Plainfield, IL) Dsgn &amp; dvlp different HANA tools such as AMDP, ADBC, FUSSY Search, CDS Views. Dsgn &amp; dvlp different type of interfaces incl RFC, webservices BAPI &amp; ODATA to communicate other systems w/ ECC SAP to third party tools. Travel &amp; relocation possible to unanticipated client locs throughout the US. To apply: Please mail resume, &amp; position applied for to: Vaikun Corporation, Attn: HR Dept, 24640 Generation Dr, Plainfield, IL 60585</p><p>&nbsp;</p></span>","Full Time, Employee",5 Days ago
218519149,Staffing Now,"<span id='TrackingJobBody' name='TrackingJobBody'><img src=""https://counter.adcourier.com/Y2hyaXMuYWxleC4xNTcwOS4yNzIzQHNuaS5hcGxpdHJhay5jb20.gif""><p><br><br>Our client is seeking a Systems Analyst/Programmer II for an exciting direct hire opportunity.<br><br><strong><span style=""text-decoration: underline;"">DUTIES:</span></strong></p><ul><li>Analyzes, designs, programs, documents, maintains, upgrades, and troubleshoots business applications.</li><li>Maintains AS/400 Hardware, Software and Operating System.</li><li>Interact with co-workers, supervisors, and the public in person and/or by phone.</li></ul><p><br><br><strong><span style=""text-decoration: underline;"">REQUIREMENTS:</span></strong></p><ul><li>Bachelor's degree in Computer Science or similar degree.</li><li>2+ years of related experience.</li><li>MCSA SQL Database Development or equivalent preferred.</li><li>Experience maintaining, upgrading and supporting AS/400 and knowledge of RPG and DB2 preferred.</li><li>Advanced knowledge of IBM Command Language, Microsoft Visual Studio, Microsoft SQL, Crystal Reports.</li><li>Ability to make quick and accurate assessment of hardware or software problems and proceed with appropriate time-and cost-effective solutions.</li><li>Ability to understand users' business needs in order to formulate technical solutions, keep current on technological advances in the computer field through trade publications and other educational sources.</li><li>Moderate interpersonal skills are required to exchange and interpret information and respond to routine questions.</li></ul></span>","Full Time, Employee",4 Days ago
218543246,Port Authority of Allegheny County,"<span id='TrackingJobBody' name='TrackingJobBody'><p>Port Authority is seeking a Software Support Analyst to support day-to-day software application and operational management for software.&nbsp; Primary support will be for the Work Order and Asset Management System(s), with cross-support for other related applications also included.&nbsp; Works with Authority and vendor personnel to identify any technology related issues with the software application and then follows through until conclusion.&nbsp; Provides training support, and assistance in the design of user documentation.&nbsp; &nbsp;</p><p>&nbsp;</p><p><u>Essential Functions:</u>&nbsp;&nbsp;</p><ul><li>Serve as technical analyst of software: Analyze application error and message logs, and work to resolve issues. Manage database storage and application software for periodic version updates and upgrades.</li><li>Serve as customer support for software usage: Guide users with functional support and assist with navigating software. Resolve help desk tickets related to application software.&nbsp; Provide system end-user instruction for report generation and system functionality and also assist in the design of user documentation.&nbsp;</li><li>Support data import/export/management.</li><li>Support reporting: Provide support with Crystal Report and Ad-Hoc Query Development.</li></ul><p>&nbsp;</p><p><u>Job requirements include:</u>&nbsp;</p><ul><li>Two year technical school/Associate Degree in Computer Science, Information Science or technology related field from an accredited school with five (5) years relevant experience in web-based software application using SQL or</li><li>BS Degree in Computer Science, Information Science or a technology related field from an accredited school or related field with three (3) years relevant experience in web-based software applications using SQL.</li><li>Related experience may be substituted for the education on a year-for-year basis.</li><li>Strong analytical and problem solving skills.</li><li>Ability to quickly understand, retain and apply large amounts of new information.</li><li>Ability to work in a fast paced, dynamic environment.</li><li>Great organizational skills.</li><li>Experience in monitoring and adhering to procedures and policies.</li><li>Excellent verbal communication skills with the ability to present information in a clear and concise manner.</li><li>Excellent customer service and problem resolution skills.</li><li>Professional and effective communication skills.</li><li>Exemplary attention to detail.</li><li>Ability to be flexible and adapt to change.</li><li>Valid PA driver&rsquo;s license.</li></ul><p>&nbsp;</p><p>&nbsp;<u>Preferred attributes</u>:</p><ul><li>Prior implementation project experience.</li><li>Good understanding of a web based EAM or ERP application.</li><li>Experience with large, complex deployments of an EAM or ERP application.</li><li>Knowledgeable in Crystal Reports.</li></ul><p>&nbsp;</p><p>We offer a comprehensive compensation and benefits package.&nbsp; Interested candidates should forward a cover letter (<em><u>with salary requirements</u></em><strong>)</strong> and resume.<br><br>EOE</p></span>","Full Time, Employee",3 Days ago
